32 , 683 , 598 , 793 , 602 , 672 , 677 , 700 , 931 , 632 , 735 , 753 , 491 , 851 , 703 , 688 , 689 , 870 , 1085 , 669 , 556 , 619 , 727 , 555 , 661 , 762 , 718 , 815 , 642 , 877 , 763
64 , 5043 , 5033 , 5584 , 5343 , 5588 , 4631 , 5117 , 4232 , 4371 , 5133 , 4741 , 4745 , 5269 , 4047 , 4292 , 4918 , 4165 , 4488 , 4413 , 4914 , 4177 , 4279 , 4255 , 4373 , 4358 , 4648 , 5740 , 4327 , 5284 , 4073
128 , 16638 , 15558 , 17237 , 17792 , 16242 , 13005 , 18091 , 14995 , 15276 , 16061 , 18152 , 16934 , 15790 , 18165 , 15518 , 17669 , 16282 , 16202 , 16806 , 16486 , 15920 , 17341 , 15394 , 16664 , 16311 , 17195 , 17944 , 15538 , 18023 , 17429
