"row","gap","time","evaluations","avg.eval"
"226","16",50.355419,114688,2277.57016578494
"227","16",65.892831,147456,2237.8155219951
"228","16",117.25411,262144,2235.69135444378
"229","16",45.8002,102400,2235.79809695154
"230","16",62.193624,139264,2239.20059715446
"231","16",46.187799,106496,2305.7171440449
"232","16",57.321481,131072,2286.61223878706
"233","16",51.318732,114688,2234.8174931524
"234","16",58.63902,131072,2235.23517275698
"235","16",46.557181,102400,2199.44588139905
"236","16",26.119609,61440,2352.25573246521
"237","16",45.941056,102400,2228.94310483416
"238","16",64.461918,143360,2223.94871961458
"239","16",38.218909,86016,2250.61369491212
"240","16",27.804394,61440,2209.72267908446
"241","16",44.924915,102400,2279.3587923316
"242","16",56.955403,126976,2229.39340803189
"243","16",42.260273,94208,2229.23311451396
"244","16",34.52139,77824,2254.37040629013
"245","16",39.432313,90112,2285.23241839757
"246","16",131.843185,290816,2205.77195552428
"247","16",46.962034,106496,2267.70416289891
"248","16",68.08735,151552,2225.84665139707
"249","16",89.691059,200704,2237.72583619511
"250","16",40.713728,90112,2213.30751141237
"251","32",30.575307,73728,2411.35763575489
"252","32",44.246256,90112,2036.60169574574
"253","32",63.455276,122880,1936.48200348226
"254","32",69.42796,131072,1887.88493857518
"255","32",85.671555,163840,1912.42005587502
"256","32",69.649881,131072,1881.86969048806
"257","32",62.039932,114688,1848.61582375687
"258","32",72.230433,139264,1928.05157349673
"259","32",59.190878,114688,1937.59585725355
"260","32",30.261281,57344,1894.96274133273
"261","32",83.269985,163840,1967.57571170452
"262","32",106.021274,196608,1854.42027418007
"263","32",91.663815,172032,1876.77111191586
"264","32",47.213405,90112,1908.6104889067
"265","32",85.49832,163840,1916.29496345659
"266","32",73.392807,139264,1897.515651636
"267","32",81.290402,155648,1914.71558967072
"268","32",54.60946,106496,1950.13830936984
"269","32",85.994055,163840,1905.24798487523
"270","32",70.259771,131072,1865.53411909071
"271","32",69.551725,131072,1884.52550961173
"272","32",90.565988,172032,1899.52104315364
"273","32",97.883029,180224,1841.2180522121
"274","32",82.034571,155648,1897.34642483838
"275","32",85.357131,155648,1823.49146669421
"276","32",100.975762,188416,1865.95274220362
"277","32",70.038184,131072,1871.4363010897
"278","32",89.396994,172032,1924.36000700426
"279","32",59.626848,114688,1923.4288554042
"280","32",56.554775,106496,1883.05938800039
"281","32",85.345997,163840,1919.71510977838
"282","32",100.328347,155648,1551.38607037949
"283","32",91.522651,147456,1611.14214228781
"284","32",86.294921,131072,1518.88429215898
"285","32",76.743538,114688,1494.4320132856
"286","32",67.329749,106496,1581.70796091933
"287","32",116.771963,180224,1543.38417690212
"288","32",119.665338,180224,1506.06686123262
"289","32",131.730169,196608,1492.50548672719
"290","32",200.874831,303104,1508.91975112601
"291","32",69.3391,106496,1535.87225677864
"292","32",127.354924,196608,1543.78012113611
"293","32",156.945524,237568,1513.69719852603
"294","32",84.501472,122880,1454.17585151653
"295","32",48.851738,81920,1676.91065566593
"296","32",115.081626,172032,1494.86938948881
"297","32",67.969661,106496,1566.81670076301
"298","32",74.450922,114688,1540.4510369932
"299","32",112.364292,172032,1531.02019278509
"300","32",66.311762,106496,1605.98959804446
"301","32",71.380102,106496,1491.95639983815
"302","32",78.045752,122880,1574.46109302656
"303","32",73.513753,114688,1560.08903531289
"304","32",106.920495,163840,1532.35354924236
"305","32",115.674282,172032,1487.21044147047
"306","32",162.963784,245760,1508.06512936641
"307","32",79.777802,122880,1540.278083871
"308","32",91.144857,139264,1527.94139553041
"309","32",154.699279,237568,1535.6761940694
"310","32",131.283224,196608,1497.5866223395
"311","32",65.761802,98304,1494.84954807047
"312","32",52.781423,106496,2017.67959154872
"313","32",104.876854,204800,1952.76643214336
"314","32",95.636854,180224,1884.46182054462
"315","32",57.107285,114688,2008.29018574425
"316","32",75.643487,147456,1949.35487307718
"317","32",66.199459,122880,1856.2085227917
"318","32",76.596374,147456,1925.10418313013
"319","32",66.391824,131072,1974.21899419422
"320","32",106.54508,204800,1922.1910575317
"321","32",87.248306,163840,1877.85880908679
"322","32",45.821463,90112,1966.58932518152
"323","32",103.815061,196608,1893.82925855045
"324","32",58.32121,114688,1966.4886925357
"325","32",125.591875,237568,1891.58733397363
"326","32",44.2352,90112,2037.11071725685
"327","32",97.695535,180224,1844.75165625532
"328","32",54.63076,106496,1949.37796948093
"329","32",69.024982,131072,1898.90668859573
"330","32",76.84793,147456,1918.80249734768
"331","32",84.397979,163840,1941.27871237296
"332","32",91.873903,172032,1872.47950051714
"333","32",87.418781,163840,1874.19680446013
"334","32",106.829659,204800,1917.07061425704
"335","32",61.924267,114688,1852.06875359542
"336","32",64.653303,122880,1900.59895315789
"337","32",58.850153,114688,1948.81396485069
"338","32",50.383458,98304,1951.11657480914
"339","32",47.931739,90112,1880.00689897773
"340","32",76.23638,147456,1934.19467188762
"341","32",60.886014,114688,1883.65098099541
"342","32",152.45732,253952,1665.72520099396
"343","32",105.38956,172032,1632.34384885941
"344","32",69.172792,114688,1657.99292878044
"345","32",44.986043,73728,1638.90831651941
"346","32",85.470582,139264,1629.3793342837
"347","32",70.389071,122880,1745.72555446853
"348","32",135.307504,221184,1634.67652171013
"349","32",124.12337,204800,1649.97131482975
"350","32",120.121317,196608,1636.745291429
"351","32",110.301408,180224,1633.92293233464
"352","32",107.259178,172032,1603.89071786472
"353","32",68.764738,114688,1667.83155634215
"354","32",75.646985,122880,1624.38727729863
