Threads, Generations, Time
1, 94208, 67.212557
1, 79872, 57.5382
1, 100352, 72.696704
1, 137216, 101.210233
1, 75776, 55.351351
1, 51200, 37.366616
1, 172032, 127.67929
1, 77824, 57.873903
1, 161792, 120.422894
1, 163840, 121.178021
1, 57344, 41.537792
1, 149504, 109.88117
1, 133120, 96.809107
1, 90112, 65.776524
1, 137216, 101.277734
1, 92160, 67.782304
1, 122880, 90.199132
1, 77824, 56.46422
1, 75776, 56.435189
1, 92160, 68.225985
1, 81920, 60.588125
1, 122880, 90.692726
1, 65536, 48.081503
1, 73728, 55.091365
1, 88064, 65.509012
1, 79872, 58.718276
1, 75776, 55.804079
1, 147456, 108.868139
1, 59392, 44.094789
1, 69632, 50.930245
2, 63488, 41.658244
2, 163840, 112.41307
2, 59392, 40.467803
2, 96256, 65.814414
2, 104448, 73.333169
2, 149504, 104.748995
2, 122880, 86.493048
2, 77824, 53.174974
2, 100352, 70.339575
2, 45056, 30.506882
2, 86016, 59.928202
2, 102400, 71.638141
2, 98304, 68.299081
2, 73728, 49.761466
2, 124928, 88.117245
2, 98304, 68.974962
2, 92160, 64.177662
2, 79872, 55.194521
2, 102400, 71.425722
2, 43008, 28.935572
2, 96256, 65.949769
2, 122880, 85.42167
2, 77824, 54.457783
2, 96256, 66.993987
2, 90112, 61.672507
2, 149504, 103.88634
2, 86016, 59.079132
2, 118784, 83.44763
2, 108544, 75.357993
2, 104448, 72.631632
4, 53248, 34.516977
4, 75776, 48.933362
4, 137216, 91.680224
4, 102400, 68.967923
4, 106496, 72.133139
4, 63488, 42.249066
4, 61440, 41.862705
4, 75776, 51.841447
4, 71680, 48.093911
4, 61440, 40.555328
4, 249856, 173.643301
4, 120832, 83.10896
4, 98304, 67.618036
4, 139264, 95.352384
4, 88064, 61.444322
4, 67584, 46.065649
4, 90112, 60.821436
4, 73728, 50.294963
4, 45056, 30.918451
4, 63488, 42.664895
4, 153600, 104.556009
4, 90112, 62.286003
4, 63488, 42.469206
4, 81920, 55.041798
4, 53248, 35.447836
4, 75776, 50.690639
4, 69632, 47.57551
4, 114688, 78.156044
4, 94208, 64.866417
4, 114688, 77.582583
8, 65536, 40.709399
8, 110592, 70.203401
8, 53248, 32.978054
8, 157696, 102.557525
8, 81920, 52.533963
8, 104448, 68.295979
8, 69632, 44.859555
8, 90112, 57.741315
8, 151552, 99.727034
8, 40960, 27.355145
8, 75776, 49.91594
8, 90112, 58.965946
8, 71680, 47.225673
8, 65536, 41.260664
8, 106496, 70.158054
8, 151552, 99.271786
8, 88064, 56.161368
8, 141312, 91.846124
8, 108544, 70.849561
8, 77824, 51.159942
8, 79872, 52.727105
8, 75776, 50.071515
8, 98304, 63.546957
8, 108544, 71.427711
8, 40960, 26.753023
8, 141312, 93.213039
8, 133120, 87.677309
8, 112640, 73.299934
8, 110592, 73.056215
8, 92160, 60.095586
16, 77824, 51.003131
16, 147456, 97.923498
16, 67584, 44.176926
16, 57344, 38.409611
16, 75776, 50.047843
16, 108544, 72.599593
16, 81920, 53.800971
16, 110592, 74.724826
16, 106496, 72.450189
16, 212992, 146.210514
16, 139264, 95.389837
16, 98304, 66.905351
16, 63488, 42.033078
16, 88064, 59.389147
16, 180224, 122.451615
16, 45056, 29.694965
16, 96256, 65.941413
16, 114688, 78.808681
16, 122880, 84.652623
16, 110592, 75.664962
16, 90112, 60.474185
16, 83968, 57.487579
16, 94208, 64.167248
16, 129024, 87.904342
16, 116736, 79.376725
16, 237568, 163.478151
16, 106496, 71.951898
16, 67584, 46.09558
16, 96256, 64.435691
16, 69632, 46.683051
