Threads, Generations, Time
1, 73728, 30.575307
1, 90112, 44.246256
1, 122880, 63.455276
1, 131072, 69.42796
1, 163840, 85.671555
1, 131072, 69.649881
1, 114688, 62.039932
1, 139264, 72.230433
1, 114688, 59.190878
1, 57344, 30.261281
1, 163840, 83.269985
1, 196608, 106.021274
1, 172032, 91.663815
1, 90112, 47.213405
1, 163840, 85.49832
1, 139264, 73.392807
1, 155648, 81.290402
1, 106496, 54.60946
1, 163840, 85.994055
1, 131072, 70.259771
1, 131072, 69.551725
1, 172032, 90.565988
1, 180224, 97.883029
1, 155648, 82.034571
1, 155648, 85.357131
1, 188416, 100.975762
1, 131072, 70.038184
1, 172032, 89.396994
1, 114688, 59.626848
1, 106496, 56.554775
1, 163840, 85.345997
2, 155648, 100.328347
2, 147456, 91.522651
2, 131072, 86.294921
2, 114688, 76.743538
2, 106496, 67.329749
2, 180224, 116.771963
2, 180224, 119.665338
2, 196608, 131.730169
2, 303104, 200.874831
2, 106496, 69.3391
2, 196608, 127.354924
2, 237568, 156.945524
2, 122880, 84.501472
2, 81920, 48.851738
2, 172032, 115.081626
2, 106496, 67.969661
2, 114688, 74.450922
2, 172032, 112.364292
2, 106496, 66.311762
2, 106496, 71.380102
2, 122880, 78.045752
2, 114688, 73.513753
2, 163840, 106.920495
2, 172032, 115.674282
2, 245760, 162.963784
2, 122880, 79.777802
2, 139264, 91.144857
2, 237568, 154.699279
2, 196608, 131.283224
2, 98304, 65.761802
4, 106496, 52.781423
4, 204800, 104.876854
4, 180224, 95.636854
4, 114688, 57.107285
4, 147456, 75.643487
4, 122880, 66.199459
4, 147456, 76.596374
4, 131072, 66.391824
4, 204800, 106.54508
4, 163840, 87.248306
4, 90112, 45.821463
4, 196608, 103.815061
4, 114688, 58.32121
4, 237568, 125.591875
4, 90112, 44.2352
4, 180224, 97.695535
4, 106496, 54.63076
4, 131072, 69.024982
4, 147456, 76.84793
4, 163840, 84.397979
4, 172032, 91.873903
4, 163840, 87.418781
4, 204800, 106.829659
4, 114688, 61.924267
4, 122880, 64.653303
4, 114688, 58.850153
4, 98304, 50.383458
4, 90112, 47.931739
4, 147456, 76.23638
4, 114688, 60.886014
8, 253952, 152.45732
8, 172032, 105.38956
8, 114688, 69.172792
8, 73728, 44.986043
8, 139264, 85.470582
8, 122880, 70.389071
8, 221184, 135.307504
8, 204800, 124.12337
8, 196608, 120.121317
8, 180224, 110.301408
8, 172032, 107.259178
8, 114688, 68.764738
8, 122880, 75.646985
8, 270336, 167.574387
8, 163840, 100.264866
8, 212992, 132.413124
8, 188416, 116.790126
8, 139264, 84.174293
8, 188416, 115.071199
8, 131072, 83.506547
8, 204800, 128.346592
8, 114688, 69.261113
8, 155648, 97.063327
8, 114688, 70.699038
8, 196608, 120.618429
8, 131072, 78.364984
8, 90112, 52.693296
8, 147456, 88.531682
8, 131072, 79.639092
8, 147456, 89.301826
16, 114688, 65.912187
16, 139264, 88.415775
16, 163840, 102.413647
16, 147456, 95.702269
16, 294912, 193.520006
16, 114688, 72.313079
16, 245760, 161.624015
16, 139264, 89.886197
16, 270336, 177.11167
16, 114688, 75.537654
16, 188416, 120.979973
16, 106496, 66.393757
16, 270336, 173.269973
16, 180224, 114.597799
16, 229376, 148.25271
16, 73728, 48.354852
16, 163840, 102.089541
16, 114688, 71.696774
16, 106496, 68.408989
16, 204800, 130.7481
16, 122880, 75.402427
16, 122880, 80.148383
16, 212992, 140.262425
16, 122880, 75.821108
16, 122880, 77.049985
16, 204800, 126.916362
16, 106496, 65.785932
16, 131072, 85.407746
16, 237568, 153.246651
16, 114688, 72.992663
