Threads, Generations, Time
1, 122880, 51.422405
1, 114688, 47.253125
1, 126976, 54.427883
1, 94208, 40.15543
1, 143360, 62.266775
1, 110592, 48.86744
1, 106496, 45.640728
1, 200704, 89.161904
1, 147456, 66.793395
1, 184320, 82.134573
1, 81920, 36.511428
1, 114688, 51.037967
1, 94208, 40.660233
1, 147456, 65.019064
1, 135168, 60.18331
1, 106496, 47.117827
1, 77824, 33.543662
1, 192512, 85.735432
1, 135168, 59.014825
1, 94208, 41.715285
1, 163840, 74.02847
1, 102400, 45.988464
1, 86016, 39.079103
1, 90112, 39.518261
1, 122880, 53.064848
1, 49152, 20.926351
1, 147456, 66.130732
1, 118784, 53.519537
1, 110592, 47.951205
1, 86016, 37.219597
1, 143360, 63.99963
1, 98304, 43.044055
1, 86016, 38.317007
1, 241664, 108.305809
1, 131072, 58.341365
1, 151552, 68.372534
1, 106496, 47.861839
1, 192512, 85.941066
1, 118784, 51.858448
1, 106496, 47.204731
1, 192512, 85.459159
1, 131072, 57.49009
1, 90112, 39.097333
1, 110592, 48.928041
1, 163840, 72.058847
1, 98304, 43.166701
1, 237568, 106.000132
1, 65536, 29.385496
1, 110592, 49.028045
1, 73728, 32.043633
1, 176128, 78.609744
1, 118784, 52.471796
1, 86016, 37.330771
1, 139264, 61.36756
1, 69632, 30.740882
1, 176128, 78.616752
1, 163840, 73.983708
1, 151552, 67.628136
1, 73728, 33.015384
1, 143360, 63.81339
1, 200704, 89.066747
1, 110592, 49.943198
1, 139264, 62.422556
1, 180224, 79.325022
1, 147456, 67.830657
1, 126976, 57.644206
1, 110592, 48.108765
1, 118784, 52.736248
1, 106496, 46.984156
1, 208896, 94.506183
1, 86016, 38.229466
1, 139264, 60.843014
1, 176128, 78.094231
1, 81920, 37.249984
1, 106496, 46.788073
1, 114688, 50.355419
1, 147456, 65.892831
1, 262144, 117.25411
1, 102400, 45.8002
1, 139264, 62.193624
1, 106496, 46.187799
1, 131072, 57.321481
1, 114688, 51.318732
1, 131072, 58.63902
1, 102400, 46.557181
1, 61440, 26.119609
1, 102400, 45.941056
1, 143360, 64.461918
1, 86016, 38.218909
1, 61440, 27.804394
1, 102400, 44.924915
1, 126976, 56.955403
1, 94208, 42.260273
1, 77824, 34.52139
1, 90112, 39.432313
1, 290816, 131.843185
1, 106496, 46.962034
1, 151552, 68.08735
1, 200704, 89.691059
1, 90112, 40.713728
